SpikeTimes,ClusterIDs
0.209155332067783,3
0.508212956045169,7
0.562114330171172,3
0.807920596593649,2
0.817470840061243,2
0.826471069507143,2
0.871422215461945,2
0.90072296243582,2
0.907373131970847,2
0.950074220564174,3
0.970524741916247,2
1.12587870240743,7
1.36348475977919,3
1.61064106061855,5
1.9495997018061,4
2.06030252399067,4
2.08090304916684,4
2.15090483374607,4
2.16705524547399,4
2.26775781271867,7
2.32075916390009,7
2.37826062980445,3
2.41376153484106,4
2.43791215052089,4
3.15483042716155,7
3.15798050746761,2
3.16993081212078,2
3.17833102627029,2
3.19133135769214,2
3.19848153997416,2
3.23348243226377,2
3.23688251894334,2
3.27973361136076,2
3.28303369549092,2
3.57759120474536,4
3.83789784083068,4
4.02220253937284,4
4.14470566238648,4
5.69889528386936,4
5.70494543810799,4
6.3450117555356,4
6.36921237249013,4
6.48496532341935,4
6.91752635084426,3
7.14963226799908,2
8.26001057524968,7
8.53766765365571,4
8.55151800674745,5
8.81262466322796,4
8.90592704181713,4
9.03588035476099,4
9.18973427701118,4
9.33093787676242,4
9.85410121394272,7
10.9742297697597,3
11.0459315976787,3
11.0674321457995,7
11.1020830291662,7
11.115583373335,3
11.1241335913086,3
11.1564344147645,7
11.1859351668372,3
11.1900352713625,7
11.196935447271,7
11.2028855989603,3
11.2105357939893,3
11.2228361075654,3
11.2307363089679,3
11.2469367219705,3
11.2615370941827,7
11.2724373720672,3
11.2786875314046,3
11.288437779971,3
11.3091383076966,7
11.3472392790176,7
11.3882403242711,3
11.5303439469669,3
11.5482444033093,4
11.9289541088709,3
11.9375543281192,7
11.9628549731172,7
12.3760155059587,3
12.3870657876673,7
12.3958660120144,2
12.6712230317842,3
13.0414824709336,5
16.0329587336521,4
16.9995333748671,4
17.1049860632082,4
17.6812007528446,3
17.6859008726663,3
17.9112566177368,4
18.1814635062126,3
18.2776159574596,4
18.3055166687419,4
18.3091167605202,4
18.5559230524367,4
18.5897239141335,5
18.6109744558808,7
18.6750760900455,4
18.7020767783832,4
18.7862789249771,3
18.7903790295024,3
19.072436220082,2
19.1184373928055,3
19.2001894769391,2
19.2062396311777,2
19.2137398223826,2
19.3107422952995,3
19.3387430091312,3
19.3548434195845,7
19.3761439626064,3
19.3874442506885,7
19.4183950397275,3
19.4277952793709,3
19.4654462392196,2
19.4870467898898,7
19.6265003450265,3
19.6372506190869,7
19.6430007656774,2
19.667351386456,7
19.7142025808494,2
19.7584037076837,7
19.7789542315852,4
19.9133076567026,7
19.9461084929054,2
20.0304606433234,5
20.1968148842484,4
20.2958174081533,4
20.3002675216016,2
20.3254181627754,4
20.3326683476068,2
20.9696345860031,1
21.2703922533202,3
22.0583123400341,3
22.0703626472367,3
22.0962133062563,7
22.145164554187,3
22.1627650028812,3
22.1878656427804,3
22.3096187466735,3
23.4066967148541,3
23.6892539181806,3
23.9484105249479,2
24.0156622394186,3
24.0551632464312,2
24.0614634070433,2
24.6870793560828,7
25.0119876390798,4
25.3416960444479,3
25.4167979590465,4
25.4277982394804,5
25.5610016352797,4
25.9920126231889,7
27.9307620483852,3
27.9573627265253,7
27.9597127864362,7
28.1114166538743,2
28.2218694696854,3
28.244070035652,3
28.3222720292819,4
28.3445225965232,2
28.3893737399286,3
28.4299247737098,3
28.4742759043682,2
28.6135294544062,7
28.6946315219687,3
28.7041317641616,3
28.7203321771642,3
28.7295824129836,3
28.7471828616778,3
28.7618832364394,7
28.8323850337657,7
28.8906365187905,3
28.9163871752607,3
28.9296375130561,3
28.9463379388057,3
29.0463404882046,2
29.0499905812576,3
29.1875940892305,2
29.2902467061885,2
29.3314977578155,3
29.4568009522123,2
29.7645087967127,3
29.8047598228458,3
29.8451108515282,5
29.8700114863286,3
29.9934646335615,7
30.0595163174395,3
30.1470185481635,3
30.209320136439,3
30.2287206310224,7
30.2371208451719,7
30.2625714939939,3
31.5383540179503,3
31.5717548694495,3
31.750009413753,5
32.0400168070098,3
32.0808678484393,4
33.1732956980727,3
33.5113543163157,5
33.8729635349421,4
34.7702864106984,4
34.7746865228719,2
34.7833867446696,4
34.7862868186022,2
35.0018923151062,2
35.1079950200184,5
35.1386458014092,4
35.1417458804405,2
35.2805994202809,4
35.3937523049258,4
35.3997524578897,4
35.5091052456574,2
35.5165054343129,4
35.5605565573231,3
35.6457087281363,4
35.6459087332351,2
35.6550589665051,2
35.6862097606428,3
35.7522114432461,7
35.8203631806614,4
35.8769146223465,2
35.884814823749,2
35.9262158792002,2
35.9406162463136,2
36.0381687332522,3
36.0610693170646,3
36.112070617258,3
36.1186207842436,3
36.122220876022,3
36.2021729142664,4
36.2322236803608,4
36.3444265407863,4
36.4602294929902,4
36.659734579041,4
36.7208361367237,3
36.7755875325196,5
36.9635423241149,2
37.5833081240145,7
37.7846132559545,7
37.8295644019093,3
37.9168666275345,3
38.0704705434112,3
38.2754257684042,2
38.4076791399843,4
38.4536803127077,4
38.5768834535672,4
38.6086342630013,4
38.665585714884,4
38.7034866811062,4
38.7898888837868,4
38.8024392037364,4
38.8071893248328,4
38.8223397110668,3
39.0284449653779,4
39.1422478665938,2
39.3912542145971,2
39.4042545460189,4
39.4198549437251,4
39.4250050750192,4
39.5227575670566,4
39.5328078232712,2
39.5573584491486,2
39.6183100030072,2
39.800014635265,2
39.8030647130217,2
39.8073648226459,2
39.8149650164002,3
39.8468658296584,2
39.8530659877211,2
39.8583661228393,2
39.8658663140442,2
39.9084674000881,2
39.9167176104135,2
39.9207677136642,2
39.9211177225871,7
40.045570895314,2
40.0618213095913,2
40.1768742426748,4
40.1851244530002,2
40.4720317672256,3
40.5488337251639,3
40.5610840374653,3
40.5960349284802,3
40.6022850878176,3
40.610535298143,3
40.6196355301384,3
40.6255356805529,7
40.6987375467129,7
40.7215881292505,3
40.7335884351784,3
40.7410886263833,3
40.7810396448682,3
40.7878398182273,3
40.8073903166348,3
40.8165905511795,7
